	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch21.jpg	ch22.jpg	ch23.jpg	ch24.jpg	ch25.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc21.jpg	cc22.jpg	cc23.jpg	cc24.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa21.jpg	pa22.jpg	pa23.jpg	pa24.jpg
GC_G_bin3	0.0225798	0.023509	0.0206445	0.022185	0.0256468	0.033961	0.0144183	0.0312532	0.0296154	0.0261122	0.047534	0.046018	0.0399157	0.0470098	0.0638113	0.0340398	0.0540237	0.0609277	0.0504198	0.0548166	0.0781422	0.0920347	0.0488987	0.091519	0.0641092	0.0616779
GC_G_bin4	0.0271746	0.0285015	0.0363064	0.0411275	0.0341218	0.0494537	0.0171598	0.0438455	0.0365779	0.0338338	0.0566816	0.0538712	0.0497551	0.0498034	0.079442	0.0420844	0.0754687	0.0876738	0.0706797	0.0892804	0.117935	0.13153	0.0705363	0.202433	0.117683	0.125109
GC_G_bin5	0.0305761	0.0275154	0.0686277	0.0756798	0.0803871	0.0857334	0.0165386	0.0692596	0.0419	0.0487467	0.0568066	0.0473982	0.0527795	0.0422579	0.0761404	0.0521876	0.0824032	0.0788708	0.0748672	0.0861085	0.11537	0.128218	0.0745964	0.27463	0.141279	0.141321
GC_G_bin6	0.067393	0.0276413	0.100866	0.101451	0.13317	0.112088	0.0193494	0.109972	0.0879726	0.11005	0.0667562	0.047753	0.0616817	0.0448564	0.0785217	0.0720158	0.0966822	0.0674788	0.118126	0.0790094	0.102908	0.11501	0.0828444	0.148799	0.1265	0.116553
GC_G_bin7	0.170478	0.0472164	0.121777	0.118684	0.140577	0.123908	0.0495783	0.137806	0.173981	0.16021	0.0747194	0.0626227	0.0735334	0.0616875	0.0826664	0.0988878	0.0971495	0.0694014	0.15836	0.0762488	0.0959568	0.101866	0.1002	0.0632242	0.0914981	0.0897338
GC_G_bin8	0.200528	0.125139	0.11474	0.106978	0.121415	0.116372	0.112857	0.138562	0.193726	0.139893	0.0759172	0.0730375	0.0758622	0.0840378	0.0788097	0.112174	0.0852394	0.0722644	0.113744	0.0746765	0.0844154	0.0835107	0.0997753	0.0364507	0.0597655	0.0637029
GC_G_bin9	0.113726	0.219985	0.0963332	0.0863132	0.0900135	0.0974375	0.143317	0.1124	0.149324	0.100807	0.0734177	0.0753568	0.0709178	0.0918179	0.0752525	0.108481	0.0745087	0.0700633	0.0732422	0.073698	0.0711575	0.067248	0.0921898	0.0256246	0.0435829	0.0489229
GC_G_bin10	0.0572027	0.210024	0.0708694	0.0657571	0.0687764	0.0794964	0.133181	0.0793235	0.0996227	0.0731239	0.0680494	0.0713469	0.0627708	0.0904687	0.0687027	0.092207	0.0625013	0.0644493	0.0501919	0.0602506	0.0567697	0.0512206	0.071792	0.019254	0.03409	0.0394274
GC_G_bin11	0.0378857	0.129658	0.0555623	0.0515575	0.0524203	0.0632585	0.109269	0.0541159	0.0640017	0.0521959	0.0662355	0.0616264	0.0567989	0.0775693	0.0606203	0.074906	0.0539118	0.0601514	0.0348969	0.0374953	0.0461795	0.042064	0.059056	0.015775	0.0273183	0.033329
GC_G_bin12	0.0308266	0.0741673	0.045131	0.0404975	0.0450217	0.0483335	0.0952352	0.0393632	0.0397689	0.0421549	0.0627279	0.0562897	0.0546538	0.0694917	0.0560293	0.0593739	0.0509485	0.057539	0.0235138	0.0243384	0.0398369	0.0352249	0.0510101	0.0139529	0.0245787	0.0309772
GC_G_bin13	0.0289288	0.036314	0.0383326	0.0344359	0.0414988	0.0409037	0.0806427	0.0311953	0.0259438	0.0351563	0.064188	0.0579726	0.0583388	0.0632324	0.054245	0.0511856	0.0501194	0.0571175	0.0193243	0.0191256	0.0364672	0.0309645	0.0436389	0.013401	0.0246601	0.0309359
GC_G_bin14	0.0345923	0.0195675	0.0365162	0.0337976	0.0439758	0.0378806	0.07223	0.0258522	0.0174923	0.0371742	0.0728207	0.0703049	0.073398	0.0697225	0.0599775	0.0474981	0.056956	0.0662397	0.0218315	0.0196444	0.0356159	0.029747	0.0425212	0.014459	0.0313333	0.0366249
GC_G_bin15	0.0527706	0.013176	0.0523879	0.0536639	0.0510756	0.0423323	0.066192	0.0261141	0.0124022	0.0494595	0.0846262	0.0991364	0.0999807	0.0879358	0.0679626	0.0504888	0.0638358	0.0794729	0.0338116	0.0244013	0.0410843	0.0301533	0.0565503	0.0206483	0.0556838	0.0769018
GC_G_bin16	0.113279	0.00675678	0.130842	0.156096	0.058176	0.0520585	0.0625954	0.0864048	0.0142918	0.0787303	0.104262	0.156293	0.149851	0.0981369	0.0684166	0.0880527	0.0725657	0.0847956	0.135875	0.261333	0.0494067	0.0291627	0.0884291	0.0323715	0.135398	0.0822659
GC_B_bin1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_B_bin2	2.3524e-005	2.00272e-005	2.41597e-005	2.60671e-005	2.9246e-005	3.49681e-005	1.65304e-005	3.11534e-005	2.60671e-005	2.67029e-005	4.3869e-005	4.3869e-005	3.62396e-005	3.94185e-005	5.24521e-005	3.24249e-005	4.45048e-005	5.8492e-005	4.19617e-005	3.56038e-005	5.02268e-005	5.40415e-005	3.36965e-005	3.68754e-005	3.75112e-005	3.62396e-005
GC_B_bin3	0.00136058	0.00115108	0.00131226	0.00139554	0.00163841	0.0020415	0.000892003	0.001695	0.00155767	0.00145594	0.00274754	0.00292333	0.00229073	0.00319417	0.00315189	0.00183169	0.00266711	0.0042305	0.00227833	0.00212987	0.00309563	0.00341288	0.00197474	0.00235494	0.00229327	0.00221697
GC_B_bin4	0.00662104	0.00578022	0.00635147	0.00664775	0.00778262	0.0097758	0.0042661	0.00822067	0.00788879	0.00700124	0.0131588	0.0152365	0.0106888	0.0174929	0.015254	0.00899951	0.0124887	0.0250562	0.0117645	0.0111084	0.0157986	0.0170612	0.0101083	0.0149415	0.01249	0.0124639
GC_B_bin5	0.0134258	0.0129156	0.012694	0.0133241	0.0155322	0.0196959	0.00850296	0.0173734	0.0168387	0.0147031	0.0271473	0.0262686	0.022522	0.0302455	0.0333595	0.0193227	0.0286744	0.0469983	0.0274649	0.0265249	0.0336145	0.0353603	0.0253379	0.0541878	0.0328401	0.0335712
GC_B_bin6	0.0188173	0.019639	0.0199979	0.0217203	0.0219949	0.0300121	0.0119762	0.0276114	0.0250924	0.0219173	0.0396395	0.0358467	0.0351671	0.0346152	0.0537157	0.02911	0.0506744	0.0559158	0.0448189	0.0494308	0.0589021	0.0653184	0.0438061	0.140684	0.0689087	0.0699851
GC_B_bin7	0.0232519	0.0246639	0.0369167	0.0391515	0.0341981	0.0487982	0.0141652	0.0433369	0.0316251	0.0273329	0.0487185	0.0431226	0.0455558	0.0374991	0.0694876	0.0381254	0.0732161	0.0563908	0.0584154	0.0737801	0.0930405	0.104898	0.0576992	0.228537	0.112609	0.112486
GC_B_bin8	0.0366357	0.0272875	0.0642796	0.0691579	0.0729307	0.0804335	0.0156492	0.0758654	0.0468559	0.037323	0.0586805	0.0482814	0.0543861	0.0405547	0.0819654	0.0507425	0.0947946	0.0649319	0.0764875	0.0885754	0.1193	0.13619	0.068964	0.203293	0.133469	0.12947
GC_B_bin9	0.0889676	0.0361176	0.105495	0.106812	0.131904	0.118656	0.0185757	0.123931	0.107907	0.0905946	0.0754137	0.0565306	0.0683441	0.0467218	0.094099	0.0744413	0.105694	0.0796738	0.141101	0.0917288	0.130217	0.142186	0.0861092	0.115602	0.127072	0.118092
GC_B_bin10	0.215515	0.0897074	0.143822	0.136611	0.165626	0.145247	0.0382894	0.165812	0.221638	0.1999	0.0959044	0.076903	0.0861759	0.0739028	0.102154	0.113141	0.11032	0.0950635	0.183506	0.099116	0.124453	0.129948	0.118178	0.0646693	0.0990995	0.101747
GC_B_bin11	0.2051	0.230972	0.139942	0.133914	0.142508	0.146825	0.0927277	0.162683	0.227312	0.195087	0.103771	0.100822	0.0978826	0.110173	0.106052	0.136986	0.103012	0.0969194	0.120049	0.104219	0.10225	0.102447	0.131785	0.0414817	0.0686544	0.0761414
GC_B_bin12	0.0990022	0.276694	0.10848	0.100314	0.102869	0.116484	0.193094	0.113023	0.145099	0.123192	0.100314	0.0982482	0.0897865	0.124993	0.0950594	0.131338	0.0870113	0.0881577	0.074502	0.079806	0.0801913	0.0757942	0.113565	0.0287126	0.0505238	0.059021
GC_B_bin13	0.0516243	0.163662	0.0855624	0.0793235	0.0788174	0.089351	0.293957	0.0778319	0.0818653	0.0755679	0.0993242	0.0905622	0.0868136	0.117373	0.0841789	0.114742	0.0785929	0.0829423	0.0456057	0.046929	0.0626806	0.0581888	0.0955435	0.0232677	0.0411765	0.0513846
GC_B_bin14	0.0433884	0.0692606	0.0775503	0.0732339	0.0716324	0.0695508	0.234855	0.0546455	0.0463339	0.0782038	0.102998	0.0945123	0.102565	0.110848	0.0817108	0.0924123	0.078167	0.0854123	0.0344076	0.0313931	0.0543569	0.0479819	0.105652	0.0236988	0.0448583	0.0653591
GC_B_bin15	0.0759322	0.0283661	0.120726	0.123149	0.0760485	0.0791066	0.0631568	0.0711708	0.0250575	0.120143	0.134799	0.133938	0.142162	0.122309	0.0868206	0.107094	0.092055	0.105728	0.0688534	0.050698	0.0533663	0.0449804	0.13063	0.0346184	0.0941747	0.140837
GC_B_bin16	0.120335	0.0137625	0.0768464	0.0952193	0.0764891	0.0439879	0.00987625	0.0567684	0.0149021	0.00755056	0.0973396	0.176761	0.155624	0.130039	0.0929384	0.0816816	0.0825876	0.112521	0.110703	0.244525	0.068683	0.036178	0.0106131	0.023915	0.111793	0.0271886
GgT_glcm_contr	6.28332	8.26689	11.7611	10.4011	13.8381	11.2033	8.23035	8.6325	6.68545	10.5676	15.0603	13.5909	12.5485	10.1	15.0641	14.7656	12.8179	13.4152	6.44665	7.40404	12.2399	9.57566	14.9327	5.32496	8.97411	7.89939
GgT_glcm_corre	0.98067	0.95583	0.963785	0.970018	0.954647	0.963365	0.959839	0.971541	0.96402	0.96148	0.96753	0.97117	0.972731	0.975244	0.968283	0.95712	0.970096	0.970957	0.985063	0.987837	0.971835	0.974501	0.963089	0.981635	0.982037	0.98227
GgT_glcm_energ	0.00563035	0.0054428	0.00325068	0.00453394	0.00243926	0.00264235	0.00438958	0.00343657	0.00520579	0.0041646	0.00220227	0.00333026	0.00334108	0.00289484	0.00180409	0.00225571	0.00200847	0.0021619	0.0064195	0.0314624	0.00194315	0.00236089	0.00302178	0.00658411	0.00367691	0.00375495
