	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch21.jpg	ch22.jpg	ch23.jpg	ch24.jpg	ch25.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc21.jpg	cc22.jpg	cc23.jpg	cc24.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa21.jpg	pa22.jpg	pa23.jpg	pa24.jpg
GgT_wav_db6__D_V_V_entrop	0.882614	0.90308	0.894709	0.893882	0.899321	0.897576	0.89858	0.893839	0.900681	0.894677	0.886453	0.893668	0.891692	0.894907	0.894831	0.890551	0.890514	0.886933	0.88842	0.883091	0.889572	0.889461	0.897579	0.898822	0.889516	0.898699
GgT_wav_db6__D_V_D_energ	1.7327e-005	1.56896e-005	2.09923e-005	1.86745e-005	3.15746e-005	1.59091e-005	3.0204e-005	1.44785e-005	1.29812e-005	2.31173e-005	2.40261e-005	3.17748e-005	2.27224e-005	3.28616e-005	1.0463e-005	3.07385e-005	1.34166e-005	2.92718e-005	1.06825e-005	7.73721e-006	1.3935e-005	8.87424e-006	1.5163e-005	5.38645e-006	1.0111e-005	7.2032e-006
GgT_wav_db6__D_V_D_entrop	0.885049	0.900849	0.895007	0.892284	0.900298	0.89799	0.897856	0.89202	0.90105	0.894964	0.88981	0.893363	0.890921	0.895239	0.893616	0.891001	0.888946	0.885782	0.885655	0.878332	0.888397	0.891928	0.897432	0.895618	0.888514	0.899397
GgT_wav_db6__D_D_A_energ	5.19183e-005	8.13907e-005	9.49361e-005	8.25541e-005	8.09829e-005	6.96337e-005	0.000107472	6.41453e-005	4.68681e-005	9.21568e-005	6.07361e-005	9.10242e-005	7.27867e-005	7.80943e-005	6.92679e-005	0.000109676	5.81351e-005	9.54203e-005	3.06736e-005	2.80357e-005	5.93609e-005	4.12483e-005	7.44288e-005	2.46899e-005	4.17516e-005	3.40886e-005
GgT_wav_db6__D_D_A_entrop	0.895275	0.896521	0.896162	0.89191	0.902332	0.899236	0.901015	0.894694	0.896858	0.895688	0.899734	0.899869	0.898082	0.899563	0.902421	0.900139	0.897306	0.898238	0.891936	0.880908	0.899957	0.895257	0.899327	0.892586	0.893479	0.897524
GgT_wav_db6__D_D_H_energ	2.58075e-005	5.76057e-005	3.52383e-005	3.02818e-005	4.43852e-005	2.66472e-005	4.62618e-005	2.44465e-005	1.91868e-005	3.78787e-005	5.12745e-005	4.75746e-005	3.3618e-005	4.50939e-005	4.3662e-005	5.11518e-005	2.14848e-005	4.65587e-005	1.91683e-005	1.18228e-005	2.36384e-005	1.53629e-005	2.7413e-005	8.90605e-006	1.59855e-005	1.21297e-005
GgT_wav_db6__D_D_H_entrop	0.889185	0.897327	0.897775	0.893052	0.900536	0.900113	0.903118	0.896439	0.902071	0.894602	0.89538	0.898771	0.897085	0.898362	0.89626	0.898175	0.896436	0.892216	0.890796	0.884178	0.893849	0.893247	0.898871	0.895288	0.893798	0.900827
GgT_wav_db6__D_D_V_energ	2.5595e-005	2.92276e-005	3.32097e-005	2.98295e-005	4.46741e-005	2.62195e-005	4.58835e-005	2.37696e-005	1.96179e-005	3.66536e-005	4.21173e-005	4.70063e-005	3.48461e-005	4.58965e-005	2.42132e-005	4.97601e-005	2.13997e-005	4.37704e-005	1.85623e-005	1.1019e-005	2.24872e-005	1.43953e-005	2.52338e-005	8.06589e-006	1.57417e-005	1.12628e-005
GgT_wav_db6__D_D_V_entrop	0.888253	0.898226	0.895767	0.89261	0.899295	0.897718	0.902301	0.897517	0.901321	0.896392	0.898835	0.898625	0.89318	0.898737	0.899142	0.895617	0.893233	0.894047	0.887924	0.883093	0.894492	0.893658	0.900253	0.898346	0.892875	0.902214
GgT_wav_db6__D_D_D_energ	1.76859e-005	2.27685e-005	2.04577e-005	1.77451e-005	2.88219e-005	1.55928e-005	3.09863e-005	1.44581e-005	1.25456e-005	2.32214e-005	3.79595e-005	3.38839e-005	2.39593e-005	3.44728e-005	1.71956e-005	3.26573e-005	1.28243e-005	3.16633e-005	1.25702e-005	7.33591e-006	1.44064e-005	8.63383e-006	1.4765e-005	4.88711e-006	9.80633e-006	6.75387e-006
GgT_wav_db6__D_D_D_entrop	0.881356	0.896313	0.895008	0.893423	0.90028	0.896973	0.900632	0.894968	0.901636	0.89031	0.894425	0.893261	0.890213	0.892443	0.899189	0.894773	0.89151	0.887373	0.882508	0.87984	0.884439	0.887492	0.899202	0.897853	0.887332	0.900998
GgT_wav_db20__A_A_A_energ	30.309	28.5319	28.435	27.8821	27.6654	26.0477	33.9887	26.3303	24.2959	27.0534	30.5524	34.644	32.8974	32.4138	27.7898	29.5929	27.6323	27.8509	25.5827	30.34	21.6602	19.6069	27.478	14.7162	26.3199	24.0715
GgT_wav_db20__A_A_A_entrop	0.984954	0.992346	0.986714	0.984755	0.986744	0.984615	0.993094	0.984341	0.990773	0.986566	0.981688	0.982666	0.981796	0.984487	0.978912	0.98528	0.979795	0.979434	0.97814	0.973977	0.9753	0.975025	0.982192	0.972439	0.970539	0.974564
GgT_wav_db20__A_A_H_energ	0.0461109	0.0563719	0.0794137	0.0688071	0.118068	0.0989889	0.0596406	0.0522774	0.0541878	0.0867825	0.132495	0.108154	0.0826311	0.0772472	0.121153	0.139808	0.0959372	0.109102	0.0395145	0.0634107	0.103873	0.0771021	0.125716	0.0461784	0.0748019	0.0658165
GgT_wav_db20__A_A_H_entrop	0.876248	0.888442	0.901382	0.893726	0.904073	0.899324	0.886688	0.890674	0.894849	0.887809	0.90523	0.903168	0.900993	0.900395	0.910495	0.904435	0.901486	0.906121	0.88747	0.88295	0.908561	0.901966	0.893714	0.891315	0.893549	0.899172
GgT_wav_db20__A_A_V_energ	0.0413953	0.0559164	0.0914917	0.0789442	0.116768	0.0921866	0.056515	0.08441	0.0508521	0.0849514	0.106315	0.0911709	0.106924	0.062843	0.125971	0.105937	0.114386	0.105819	0.0464101	0.059424	0.0969404	0.0819343	0.13191	0.0371518	0.0730743	0.0590061
GgT_wav_db20__A_A_V_entrop	0.877003	0.891694	0.898201	0.898904	0.900965	0.896172	0.88883	0.888647	0.893016	0.887539	0.903136	0.903459	0.906983	0.898181	0.910759	0.900795	0.905195	0.90283	0.884101	0.878619	0.905071	0.90476	0.895467	0.883565	0.896137	0.898227
GgT_wav_db20__A_A_D_energ	0.011779	0.0193501	0.0281837	0.0241462	0.0332064	0.0284385	0.0161161	0.0189039	0.0159933	0.0244571	0.0311214	0.0249793	0.022846	0.0159689	0.034793	0.0341494	0.0269832	0.0289546	0.0101055	0.0133389	0.0258466	0.0203448	0.0372926	0.0100021	0.0205735	0.015824
GgT_wav_db20__A_A_D_entrop	0.892224	0.90064	0.904488	0.896935	0.90883	0.903095	0.900024	0.903096	0.90255	0.899176	0.905618	0.907357	0.903908	0.903914	0.910308	0.906704	0.903738	0.906148	0.89116	0.88412	0.90876	0.903494	0.899084	0.89668	0.900578	0.902467
GgT_wav_db20__A_H_A_energ	0.0013622	0.00196584	0.00270949	0.00199588	0.00288468	0.00263215	0.00227424	0.00181141	0.00140809	0.00273793	0.00267402	0.00212608	0.00169323	0.00147612	0.0022775	0.00271431	0.00180641	0.00253701	0.000699722	0.000946198	0.00205474	0.00143269	0.00329998	0.000767546	0.00134433	0.00124436
GgT_wav_db20__A_H_A_entrop	0.89485	0.905578	0.896582	0.890489	0.902516	0.899503	0.90425	0.894184	0.899802	0.886655	0.898225	0.896313	0.889792	0.894017	0.896382	0.900494	0.896769	0.892251	0.885389	0.874745	0.89715	0.89637	0.883446	0.89031	0.887914	0.890551
GgT_wav_db20__A_H_H_energ	0.00805597	0.0114088	0.0174352	0.0128532	0.0190337	0.0193987	0.00960259	0.0111029	0.0100929	0.0157087	0.0202604	0.0145418	0.0123381	0.00989028	0.0178122	0.0196502	0.0138816	0.0183709	0.00528477	0.00802081	0.014652	0.0110978	0.0208091	0.00548372	0.00974955	0.00919779
GgT_wav_db20__A_H_H_entrop	0.880154	0.893512	0.892294	0.884583	0.891945	0.884738	0.890564	0.893364	0.89145	0.882129	0.892788	0.894677	0.884236	0.8848	0.89895	0.896083	0.891491	0.885524	0.853758	0.86622	0.897497	0.892148	0.88177	0.882222	0.885218	0.888376
GgT_wav_db20__A_H_V_energ	0.000612639	0.00109179	0.00135364	0.00106033	0.00138174	0.00113861	0.00119119	0.000909058	0.00063922	0.0013025	0.00118324	0.000960787	0.000780064	0.00065883	0.00108418	0.00134489	0.000832314	0.00117432	0.000313524	0.000375855	0.000910461	0.00067034	0.00147367	0.000370029	0.000627263	0.000550997
GgT_wav_db20__A_H_V_entrop	0.897852	0.905244	0.897698	0.894242	0.904807	0.903359	0.907718	0.897797	0.899797	0.897654	0.901725	0.903248	0.901965	0.901334	0.903326	0.903735	0.89813	0.901362	0.894513	0.88187	0.904825	0.898367	0.897027	0.894117	0.893474	0.897571
GgT_wav_db20__A_H_D_energ	0.00302855	0.00526012	0.00759212	0.00601089	0.00766558	0.00724573	0.00474102	0.00529264	0.00394353	0.00671285	0.00709146	0.005259	0.00465305	0.00345877	0.00735416	0.00816392	0.00570214	0.00693495	0.0018484	0.00274915	0.005679	0.00452186	0.00925604	0.00227946	0.0040945	0.00343692
GgT_wav_db20__A_H_D_entrop	0.89741	0.906734	0.901137	0.894497	0.906785	0.90316	0.902241	0.899393	0.901837	0.897312	0.901816	0.903507	0.900051	0.898422	0.90227	0.903486	0.898794	0.898842	0.884764	0.878859	0.90746	0.898759	0.89545	0.887279	0.894439	0.900313
GgT_wav_db20__A_V_A_energ	0.00102933	0.00206199	0.00302863	0.00250857	0.00269367	0.00189697	0.00168125	0.00228905	0.00121584	0.00217541	0.00211372	0.00167679	0.00178412	0.00105126	0.00249284	0.00251263	0.00200249	0.00211298	0.000819984	0.000736186	0.00171837	0.00138991	0.0028209	0.0006622	0.00119876	0.00107949
GgT_wav_db20__A_V_A_entrop	0.887725	0.89788	0.895317	0.888159	0.904469	0.894645	0.896752	0.887155	0.891153	0.889378	0.895525	0.890402	0.890324	0.896138	0.901334	0.893178	0.889825	0.890749	0.884492	0.873873	0.893596	0.893292	0.886093	0.880781	0.892788	0.887533
GgT_wav_db20__A_V_H_energ	0.000520927	0.00102581	0.0014108	0.00110017	0.00140136	0.000856611	0.000969228	0.000982814	0.000552635	0.00112226	0.00101734	0.000853136	0.000871537	0.00050433	0.00115653	0.00126963	0.000920138	0.00104761	0.000353227	0.000345156	0.000820042	0.000640442	0.00138118	0.000309015	0.000570123	0.000470377
GgT_wav_db20__A_V_H_entrop	0.896976	0.901106	0.89992	0.896037	0.905824	0.90102	0.905466	0.896557	0.898031	0.898155	0.899591	0.902743	0.892351	0.903748	0.906861	0.900339	0.895008	0.89968	0.887297	0.877989	0.902621	0.896208	0.898364	0.895682	0.892339	0.897808
GgT_wav_db20__A_V_V_energ	0.00683276	0.0112368	0.0189057	0.015919	0.0170759	0.0149183	0.00822791	0.0145872	0.00930712	0.0150948	0.0158594	0.0132315	0.0133347	0.00755864	0.0191843	0.0162026	0.01731	0.0153792	0.00547811	0.00705043	0.0137732	0.0115033	0.0214648	0.004865	0.0104639	0.00806888
GgT_wav_db20__A_V_V_entrop	0.866446	0.893301	0.888949	0.886829	0.898662	0.892775	0.88529	0.886247	0.890573	0.872069	0.894466	0.880766	0.888735	0.88013	0.897975	0.886451	0.888186	0.889365	0.860102	0.854819	0.892932	0.890759	0.882868	0.8727	0.877139	0.887568
GgT_wav_db20__A_V_D_energ	0.00287911	0.00555591	0.00778004	0.00651316	0.00722393	0.00646506	0.00426395	0.00556438	0.00374844	0.00631281	0.00617024	0.00520463	0.00506642	0.00293993	0.00692365	0.00739777	0.00621517	0.0064565	0.00192531	0.00240598	0.00577744	0.00446014	0.00963028	0.00202039	0.00416716	0.0031727
GgT_wav_db20__A_V_D_entrop	0.894153	0.901467	0.902107	0.896495	0.907606	0.900317	0.902667	0.899369	0.901618	0.895165	0.898767	0.901358	0.896616	0.900357	0.910085	0.89965	0.898669	0.898571	0.879955	0.881588	0.904736	0.899455	0.891453	0.892621	0.892174	0.898975
GgT_wav_db20__A_D_A_energ	9.40333e-005	0.000220303	0.000182432	0.000148794	0.000203444	0.000133197	0.000191853	0.000122724	8.41709e-005	0.00017018	0.000214643	0.000165753	0.000133683	0.000128988	0.000154261	0.000203407	0.000113932	0.000173562	6.87597e-005	5.00638e-005	0.000114237	7.55957e-005	0.000159701	4.63618e-005	7.47194e-005	6.23683e-005
GgT_wav_db20__A_D_A_entrop	0.902913	0.903902	0.90371	0.902849	0.906012	0.906941	0.909769	0.903784	0.908355	0.905613	0.909269	0.909774	0.90572	0.909096	0.909616	0.907265	0.901149	0.905943	0.900259	0.890477	0.907195	0.904729	0.904368	0.900062	0.904273	0.905731
GgT_wav_db20__A_D_H_energ	0.000228692	0.000477625	0.000531803	0.000399265	0.000587148	0.000334108	0.000473626	0.000349251	0.000218357	0.00045326	0.00046973	0.000376825	0.000331225	0.000250486	0.000456215	0.000520822	0.000330104	0.000424271	0.000140669	0.00013557	0.000312373	0.000227237	0.000493293	0.000125066	0.000206544	0.000166515
GgT_wav_db20__A_D_H_entrop	0.897673	0.900742	0.897722	0.892207	0.903773	0.899737	0.902327	0.896959	0.90216	0.896801	0.901628	0.904223	0.898697	0.904675	0.904321	0.904047	0.888846	0.902712	0.886997	0.885733	0.902386	0.897499	0.893325	0.894928	0.892873	0.90252
GgT_wav_db20__A_D_V_energ	0.000242814	0.000558422	0.000484855	0.000410159	0.000540274	0.000389515	0.000506842	0.000340927	0.000231765	0.000488712	0.00046915	0.000385508	0.000319879	0.000277925	0.000432947	0.000530721	0.000302869	0.000443287	0.000142865	0.000136359	0.000329373	0.000226499	0.000517454	0.000123692	0.000215636	0.00019016
GgT_wav_db20__A_D_V_entrop	0.898288	0.906372	0.898564	0.891272	0.906622	0.897765	0.904315	0.898467	0.900134	0.897043	0.903855	0.903579	0.899735	0.905031	0.901553	0.901311	0.899632	0.900905	0.896104	0.884985	0.904801	0.896903	0.895128	0.89742	0.896315	0.897688
GgT_wav_db20__A_D_D_energ	0.00101579	0.00192184	0.00269588	0.00211331	0.00237098	0.00203649	0.00192045	0.00185879	0.00113907	0.00225877	0.00193357	0.00165911	0.001489	0.000971062	0.00210333	0.00263101	0.00176211	0.00208034	0.000519254	0.000743552	0.00170697	0.00127339	0.00280878	0.000636202	0.00116701	0.000951146
GgT_wav_db20__A_D_D_entrop	0.896216	0.901473	0.899367	0.890788	0.904823	0.899143	0.90388	0.897513	0.899329	0.889194	0.899514	0.899327	0.898791	0.897062	0.901996	0.903905	0.891682	0.901614	0.879316	0.876076	0.903257	0.896776	0.89491	0.88981	0.888916	0.896752
GgT_wav_db20__H_A_A_energ	0.000166543	0.00013688	0.000153487	0.000142302	0.000220173	0.000212705	0.000233064	0.000106283	0.000154708	0.000320156	0.0001386	0.000322769	0.000190515	0.000267263	0.000105768	0.00031623	0.000163307	0.000220569	6.79129e-005	0.000113432	0.000163298	0.000130518	0.000252676	6.66814e-005	0.000149412	0.000129644
GgT_wav_db20__H_A_A_entrop	0.90458	0.907455	0.909216	0.908583	0.909345	0.909687	0.908395	0.908753	0.909053	0.907493	0.9047	0.913067	0.911912	0.913454	0.908782	0.912172	0.911312	0.911441	0.902396	0.89747	0.913318	0.908739	0.907914	0.905743	0.908018	0.907943
GgT_wav_db20__H_A_H_energ	0.000148965	0.000125694	0.000143157	0.000131989	0.000274731	0.000190392	0.000220902	9.77127e-005	0.000133843	0.000288121	0.000210811	0.000265927	0.00016157	0.000230575	0.000116797	0.000261923	0.000134622	0.000188871	6.64862e-005	9.87087e-005	0.000137545	0.000107233	0.000209857	5.63187e-005	0.000126932	0.000106764
GgT_wav_db20__H_A_H_entrop	0.906385	0.9016	0.908184	0.90699	0.911139	0.910553	0.910552	0.90975	0.910248	0.905421	0.895384	0.911507	0.910133	0.910318	0.909773	0.91219	0.911173	0.910213	0.892956	0.898204	0.912802	0.910711	0.909435	0.907298	0.909987	0.910576
GgT_wav_db20__H_A_V_energ	8.55106e-005	8.38913e-005	0.00010768	9.41564e-005	0.000124378	0.000121193	0.000134191	7.30954e-005	8.69487e-005	0.000150661	7.45528e-005	0.000140921	9.67882e-005	0.000119866	5.94473e-005	0.000146991	8.57215e-005	0.000112152	3.16685e-005	4.72724e-005	8.78956e-005	6.75787e-005	0.000133707	3.44213e-005	7.52375e-005	6.345e-005
GgT_wav_db20__H_A_V_entrop	0.907973	0.911972	0.907239	0.907212	0.912897	0.91087	0.912211	0.906812	0.908713	0.908519	0.909019	0.912511	0.910951	0.910823	0.914004	0.910779	0.909511	0.909778	0.907644	0.89501	0.908054	0.908574	0.907073	0.907608	0.906227	0.905406
GgT_wav_db20__H_A_D_energ	8.46918e-005	7.78561e-005	0.000103074	8.86279e-005	0.000172659	0.000114807	0.000133208	7.43038e-005	8.35465e-005	0.000142163	9.27372e-005	0.000134258	9.53567e-005	0.000114992	7.16533e-005	0.0001429	8.19465e-005	0.000116364	3.25424e-005	4.69897e-005	8.34086e-005	6.4176e-005	0.000124128	3.22585e-005	6.89245e-005	5.82145e-005
GgT_wav_db20__H_A_D_entrop	0.909738	0.911006	0.909928	0.907874	0.911175	0.911228	0.911047	0.909879	0.911051	0.910556	0.905735	0.913019	0.910872	0.913016	0.909857	0.911162	0.9091	0.90948	0.898438	0.899949	0.910871	0.909488	0.909308	0.908078	0.908158	0.908586
GgT_wav_db20__H_H_A_energ	0.000370491	0.000670433	0.000580793	0.000496364	0.000694621	0.000546385	0.00068073	0.000398055	0.000342254	0.000669239	0.000667673	0.000541308	0.000400902	0.000451819	0.000688787	0.000653061	0.000337887	0.000561782	0.000204855	0.000214005	0.000397364	0.000277338	0.000535448	0.00018039	0.000291973	0.000254027
GgT_wav_db20__H_H_A_entrop	0.897773	0.904604	0.902287	0.900458	0.909126	0.907664	0.909041	0.903408	0.907638	0.899352	0.907028	0.908934	0.905621	0.909216	0.904824	0.908356	0.904389	0.905728	0.887909	0.889508	0.907628	0.906206	0.899541	0.906534	0.90553	0.903742
GgT_wav_db20__H_H_H_energ	0.00015728	0.000234648	0.000189157	0.000162292	0.000265723	0.000193554	0.000271788	0.000142773	0.000126572	0.000282589	0.000369668	0.000254307	0.000170366	0.000224656	0.000253514	0.000265796	0.000139577	0.000219937	0.000104064	0.000100947	0.000150078	0.000100367	0.000197863	6.70176e-005	0.00011453	9.8628e-005
GgT_wav_db20__H_H_H_entrop	0.901318	0.905959	0.897816	0.894149	0.902141	0.905238	0.902657	0.897777	0.906889	0.904777	0.903046	0.90958	0.904942	0.907263	0.905118	0.907929	0.903291	0.906552	0.892493	0.888943	0.904154	0.904673	0.905705	0.891039	0.901712	0.903312
GgT_wav_db20__H_H_V_energ	0.000219465	0.000313422	0.000336347	0.000288358	0.000434596	0.00030608	0.000436362	0.000221182	0.000202286	0.000379741	0.000333512	0.000325017	0.000243082	0.000268583	0.000323391	0.000395373	0.000205123	0.000327116	8.51467e-005	0.000111035	0.000220095	0.000155504	0.000304697	9.65907e-005	0.000167777	0.000144371
GgT_wav_db20__H_H_V_entrop	0.906751	0.902044	0.907529	0.905366	0.911222	0.91158	0.913351	0.90931	0.91077	0.908451	0.906729	0.910634	0.908741	0.910768	0.911408	0.910776	0.908352	0.909758	0.894524	0.896123	0.911049	0.909045	0.908018	0.906751	0.90733	0.909981
GgT_wav_db20__H_H_D_energ	9.46661e-005	0.000143104	0.000116058	9.78932e-005	0.00018217	0.000114724	0.000156341	8.3147e-005	8.41624e-005	0.000153784	0.000143519	0.000148884	0.000102753	0.000126803	0.000128139	0.000164823	8.27614e-005	0.00013927	5.59565e-005	5.03064e-005	8.87659e-005	6.33668e-005	0.000123284	3.55418e-005	6.91488e-005	5.84161e-005
GgT_wav_db20__H_H_D_entrop	0.906703	0.908084	0.905831	0.904224	0.903559	0.910034	0.910741	0.907189	0.909773	0.909035	0.904814	0.910605	0.908089	0.910623	0.910444	0.909446	0.908326	0.906412	0.902133	0.899377	0.909464	0.908696	0.906798	0.902245	0.905017	0.907858
GgT_wav_db20__H_V_A_energ	3.21333e-005	3.97595e-005	5.01376e-005	4.45114e-005	5.06816e-005	3.8655e-005	6.05791e-005	3.50828e-005	2.81847e-005	5.10277e-005	3.70122e-005	5.26876e-005	4.06314e-005	4.95921e-005	2.83429e-005	5.70255e-005	3.14731e-005	5.1334e-005	1.44351e-005	1.56187e-005	3.12383e-005	2.15226e-005	3.94432e-005	1.32725e-005	2.36054e-005	1.96254e-005
GgT_wav_db20__H_V_A_entrop	0.905211	0.907266	0.907464	0.903045	0.912049	0.907464	0.911801	0.905062	0.909264	0.905946	0.911498	0.911049	0.90818	0.911209	0.911718	0.907625	0.907287	0.906131	0.905638	0.896377	0.909188	0.908176	0.909528	0.90555	0.90622	0.904752
GgT_wav_db20__H_V_H_energ	3.36564e-005	3.72076e-005	5.21217e-005	4.37616e-005	6.70697e-005	4.01292e-005	6.51406e-005	3.70266e-005	2.83883e-005	5.34009e-005	4.39903e-005	5.6056e-005	4.25797e-005	5.31463e-005	3.46098e-005	6.16656e-005	3.25467e-005	5.67916e-005	1.52895e-005	1.66639e-005	3.23345e-005	2.26301e-005	4.0128e-005	1.37798e-005	2.42852e-005	1.97752e-005
GgT_wav_db20__H_V_H_entrop	0.906317	0.909296	0.907213	0.906482	0.912629	0.910319	0.910763	0.908853	0.910796	0.908101	0.909974	0.910617	0.910376	0.910765	0.910032	0.909798	0.905612	0.907401	0.900123	0.901724	0.910812	0.907578	0.911781	0.908049	0.906761	0.908865
GgT_wav_db20__H_V_V_energ	5.82955e-005	6.77631e-005	8.81583e-005	7.68612e-005	8.34886e-005	8.11113e-005	9.23931e-005	6.01678e-005	5.59397e-005	9.79335e-005	5.08803e-005	8.79745e-005	6.61675e-005	7.83041e-005	4.22715e-005	9.17917e-005	5.73525e-005	8.3266e-005	2.05924e-005	3.10918e-005	5.7683e-005	4.37276e-005	8.44028e-005	2.36282e-005	4.43916e-005	3.88957e-005
GgT_wav_db20__H_V_V_entrop	0.90762	0.908816	0.905012	0.902725	0.91286	0.907612	0.911786	0.905974	0.907508	0.905332	0.909613	0.90868	0.905356	0.910112	0.91183	0.90806	0.904726	0.904205	0.9046	0.891332	0.909786	0.907827	0.905089	0.9068	0.90866	0.902533
GgT_wav_db20__H_V_D_energ	5.84086e-005	5.99138e-005	8.68967e-005	7.39438e-005	0.000115297	7.96531e-005	9.69931e-005	6.10385e-005	5.54267e-005	9.83333e-005	6.20394e-005	9.24535e-005	6.6493e-005	8.02742e-005	5.32893e-005	9.49531e-005	5.66195e-005	8.73872e-005	2.14724e-005	3.18301e-005	5.7798e-005	4.2624e-005	8.38211e-005	2.28092e-005	4.45361e-005	3.69288e-005
GgT_wav_db20__H_V_D_entrop	0.908633	0.910195	0.908777	0.906699	0.912883	0.91041	0.912468	0.908551	0.910124	0.906806	0.90668	0.910675	0.906738	0.910975	0.906443	0.909325	0.90586	0.908284	0.900961	0.896006	0.911343	0.907513	0.906996	0.908769	0.906141	0.907752
GgT_wav_db20__H_D_A_energ	7.42892e-005	8.11276e-005	0.000129938	0.000108858	0.000164742	9.73674e-005	0.00014536	8.84847e-005	6.68285e-005	0.000128558	8.3297e-005	0.00011988	9.75546e-005	0.000102691	9.55131e-005	0.000147333	7.95782e-005	0.00012594	2.18839e-005	3.80262e-005	8.02298e-005	5.5756e-005	0.000103292	3.39321e-005	5.58585e-005	4.77018e-005
GgT_wav_db20__H_D_A_entrop	0.905525	0.906583	0.90665	0.904361	0.911125	0.90838	0.910449	0.907451	0.908643	0.907271	0.908723	0.910448	0.907625	0.909777	0.91047	0.908239	0.906402	0.907876	0.901408	0.895893	0.909897	0.90673	0.910982	0.906694	0.907062	0.907902
GgT_wav_db20__H_D_H_energ	3.7499e-005	6.31341e-005	5.90602e-005	4.95032e-005	7.68065e-005	4.46099e-005	7.18101e-005	4.19636e-005	3.11572e-005	5.93274e-005	5.85331e-005	6.68112e-005	4.99949e-005	6.1251e-005	5.61697e-005	7.75378e-005	3.68661e-005	6.91033e-005	2.41958e-005	1.9038e-005	3.78086e-005	2.4838e-005	4.60182e-005	1.49782e-005	2.67326e-005	2.1924e-005
GgT_wav_db20__H_D_H_entrop	0.903069	0.906855	0.906105	0.903275	0.907106	0.908688	0.910696	0.906991	0.909096	0.905254	0.903231	0.909181	0.908521	0.90917	0.909603	0.907703	0.905566	0.904437	0.899214	0.900623	0.908649	0.906057	0.909668	0.906804	0.906612	0.907142
GgT_wav_db20__H_D_V_energ	0.000146367	0.000158854	0.000243378	0.000205084	0.000308506	0.000207691	0.000284809	0.000168696	0.000142426	0.000261457	0.000170659	0.000221733	0.000167642	0.000181053	0.000168772	0.000260933	0.00014674	0.000227397	4.53264e-005	7.78663e-005	0.000155872	0.000112567	0.000206608	6.60088e-005	0.000110482	9.68518e-005
GgT_wav_db20__H_D_V_entrop	0.907351	0.894336	0.90619	0.904697	0.910431	0.907203	0.91009	0.906605	0.909087	0.907358	0.902945	0.909798	0.906239	0.911485	0.908977	0.908161	0.907705	0.907578	0.892343	0.893275	0.910747	0.906074	0.909164	0.907116	0.908442	0.908229
GgT_wav_db20__H_D_D_energ	6.48703e-005	0.000106674	9.66866e-005	7.9942e-005	0.000132188	8.43517e-005	0.000108041	6.8718e-005	5.8751e-005	0.000108339	8.56455e-005	0.000106837	7.40377e-005	9.22716e-005	8.8146e-005	0.000118276	6.24823e-005	0.000104085	3.73471e-005	3.63477e-005	6.42996e-005	4.50461e-005	8.81192e-005	2.45616e-005	4.76175e-005	3.96709e-005
GgT_wav_db20__H_D_D_entrop	0.909363	0.906905	0.906462	0.904648	0.904402	0.906615	0.909606	0.907456	0.908442	0.90267	0.901712	0.90758	0.907945	0.909348	0.906334	0.907347	0.904516	0.906422	0.898863	0.893366	0.907777	0.90502	0.906277	0.906406	0.905775	0.905765
GgT_wav_db20__V_A_A_energ	0.000179745	0.000162117	0.000210215	0.00019371	0.0001306	0.00024262	0.000285873	0.000162482	0.000173681	0.000377243	0.000167078	0.00036103	0.000283081	0.000288853	0.000167115	0.000321367	0.000218942	0.000252963	0.000106268	0.000130238	0.000186333	0.000167003	0.000302512	6.85084e-005	0.000170063	0.000137228
GgT_wav_db20__V_A_A_entrop	0.899666	0.911824	0.908456	0.905941	0.908517	0.906539	0.903644	0.906187	0.909744	0.902838	0.89288	0.907934	0.910121	0.90885	0.907581	0.907342	0.908676	0.9057	0.878482	0.88971	0.909668	0.909188	0.905976	0.904105	0.904384	0.906224
GgT_wav_db20__V_A_H_energ	8.95881e-005	0.000100452	0.00012554	0.000103782	8.28787e-005	0.000131252	0.000135612	8.63627e-005	9.64488e-005	0.000162108	8.28372e-005	0.00015021	0.000110341	0.000119192	8.31135e-005	0.000162413	9.51722e-005	0.000121874	3.81267e-005	5.288e-005	9.22457e-005	7.56911e-005	0.00014841	3.58136e-005	7.94555e-005	6.27606e-005
GgT_wav_db20__V_A_H_entrop	0.909096	0.907913	0.906763	0.905976	0.911959	0.909641	0.910486	0.908499	0.909895	0.908485	0.906228	0.90928	0.907171	0.909564	0.908692	0.907912	0.908213	0.909246	0.891587	0.898257	0.909682	0.909359	0.906468	0.907745	0.908924	0.909402
GgT_wav_db20__V_A_V_energ	0.00015755	0.000153272	0.000188522	0.000178717	0.000220541	0.000201126	0.000244768	0.000145025	0.000149675	0.000321878	0.000141173	0.000300902	0.00023357	0.000248792	0.000157623	0.000273531	0.0001808	0.000205748	0.000104422	0.000109053	0.000158984	0.00014668	0.000254094	6.01466e-005	0.00014277	0.000119677
