	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch41.jpg	ch42.jpg	ch43.jpg	ch44.jpg	ch45.jpg	ch46.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc41.jpg	cc42.jpg	cc43.jpg	cc44.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa41.jpg	pa42.jpg	pa43.jpg	pa44.jpg
GgT_G_bin48	0.0132465	0.0460768	0.0190824	0.017388	0.0186214	0.0258722	0.0199178	0.038297	0.0201352	0.02786	0.0188624	0.0226755	0.0219415	0.019893	0.0278899	0.0307732	0.0190191	0.0255114	0.0169786	0.011652	0.0125618	0.0150598	0.0129013	0.0127907	0.0091629	0.0126915	0.0132319
GgT_G_bin49	0.0121307	0.0382519	0.0176811	0.0157661	0.017615	0.0214548	0.0180155	0.0403175	0.0180766	0.0250912	0.0176353	0.0225458	0.0208594	0.0199458	0.026474	0.0271263	0.0173187	0.0233657	0.0141964	0.0102425	0.0106602	0.0146688	0.0124118	0.0116253	0.00861263	0.0124493	0.0126578
GgT_G_bin50	0.0112699	0.0339594	0.0162843	0.0145232	0.0166461	0.0181532	0.0159232	0.0346928	0.0163975	0.0231584	0.0153192	0.0221262	0.0206477	0.0191243	0.0263653	0.0244643	0.0168476	0.0219733	0.0130374	0.0086813	0.00920741	0.0137901	0.011961	0.010313	0.00793457	0.0124531	0.0124041
GgT_G_bin51	0.0106748	0.0257053	0.0154146	0.0139961	0.0163937	0.0166578	0.0145639	0.0349693	0.0140928	0.020326	0.0142123	0.0220928	0.0203966	0.0194766	0.0242901	0.0217292	0.0166254	0.0208263	0.0114085	0.00771999	0.00808907	0.0132726	0.0116138	0.00948048	0.00752258	0.0119692	0.0126177
GgT_G_bin52	0.0106169	0.0210962	0.0144914	0.0130068	0.0150483	0.0136642	0.0132173	0.0311044	0.0127036	0.018472	0.0130781	0.0226278	0.0199782	0.0199528	0.0238139	0.0199922	0.0154848	0.019235	0.0103397	0.00710487	0.00700506	0.0129306	0.0108744	0.00846863	0.00707531	0.0111745	0.0128199
GgT_G_bin53	0.00991503	0.0156441	0.0137978	0.0124601	0.0155964	0.0123072	0.0123361	0.0301723	0.0115414	0.0170759	0.0120888	0.0227928	0.0201492	0.0198542	0.0246976	0.0172577	0.0158758	0.0183767	0.00957934	0.00673676	0.00664838	0.0129293	0.0104777	0.00836945	0.0071516	0.0107829	0.0128123
GgT_G_bin54	0.0102367	0.0123558	0.0132955	0.0121422	0.0148627	0.0107327	0.0118936	0.0290941	0.0104777	0.0155697	0.0114123	0.0236177	0.0211074	0.0215619	0.0232271	0.0149829	0.015379	0.0180957	0.00942485	0.00677776	0.00650597	0.0123183	0.0104993	0.00780582	0.00702	0.0100365	0.013244
GgT_G_bin55	0.0107218	0.00989628	0.0132904	0.0126883	0.0148958	0.00998497	0.0113932	0.027153	0.0100028	0.0141608	0.0107295	0.024477	0.0213661	0.0225353	0.0236867	0.0135422	0.0148087	0.0177434	0.00891813	0.00654888	0.00624911	0.0119464	0.0102463	0.00756168	0.00711346	0.0105813	0.0142015
GgT_G_bin56	0.0115115	0.00794411	0.0142129	0.0147572	0.0149771	0.00924587	0.0104758	0.0260499	0.00949669	0.0136477	0.0100206	0.0247269	0.0234127	0.0239582	0.0242926	0.0126635	0.0157156	0.0167948	0.00848325	0.00695133	0.00631269	0.0119267	0.0101674	0.00758648	0.00726032	0.0120672	0.0145791
GgT_G_bin57	0.0129706	0.00640869	0.0206191	0.019558	0.0156078	0.00875092	0.0103149	0.0252597	0.00915019	0.0122369	0.00900078	0.0261259	0.024765	0.0254396	0.025809	0.0121339	0.0161915	0.0164185	0.00913556	0.0075407	0.00669479	0.012043	0.0101579	0.00768948	0.0077467	0.0124149	0.0169748
GgT_G_bin58	0.0141169	0.0053196	0.0268192	0.0405757	0.0154057	0.00814152	0.00995127	0.0241725	0.00926781	0.0116425	0.00824165	0.0258274	0.0276705	0.0281932	0.0268485	0.0121606	0.0163364	0.0161692	0.0101261	0.00843239	0.00702604	0.0123711	0.0101535	0.00826645	0.00871944	0.0123933	0.022447
GgT_G_bin59	0.0174491	0.00440121	0.0393912	0.0540613	0.0168896	0.00828743	0.0106653	0.0209522	0.00941531	0.011371	0.0072066	0.0273142	0.0303402	0.032074	0.0275834	0.0148919	0.0179291	0.016372	0.01861	0.0101595	0.0073808	0.0129948	0.0104218	0.0100155	0.00975323	0.0130959	0.0312506
GgT_G_bin60	0.0205625	0.00401115	0.0461394	0.0464217	0.0201015	0.00857258	0.0133349	0.0160484	0.0114517	0.0114072	0.00700823	0.0311136	0.0370782	0.0363674	0.0303828	0.0207818	0.0212488	0.0191078	0.0395718	0.0141058	0.00802422	0.0133801	0.0108929	0.0141592	0.0123606	0.0115891	0.0499102
GgT_G_bin61	0.0249112	0.00343513	0.0241578	0.0282033	0.0229734	0.00921535	0.0143833	0.015782	0.0176811	0.0127716	0.00875537	0.0351582	0.0479921	0.044899	0.0313702	0.0289822	0.0233479	0.02086	0.0188414	0.0224094	0.00962194	0.015049	0.012008	0.0251989	0.0189552	0.00907453	0.0539964
GgT_G_bin62	0.0288442	0.0026865	0.0164986	0.00865491	0.0212294	0.00762939	0.0125338	0.0146135	0.026001	0.0148487	0.0104351	0.0370789	0.0464827	0.0520503	0.02812	0.0162894	0.0260353	0.0156479	0.0084521	0.0375624	0.0242755	0.0162551	0.00965627	0.0284691	0.0254602	0.00771523	0.0213922
GgT_G_bin63	0.0304801	0.0019331	0.00223859	0.0017821	0.0119381	0.00549507	0.010788	0.0163218	0.0201295	0.00977516	0.00497754	0.0205383	0.0534306	0.0479946	0.0293051	0.00140381	0.00577641	0.0106716	0.00225004	0.054635	0.0432968	0.015667	0.00435575	0.0337162	0.0223875	0.0061601	0.00341352
GgT_G_bin64	0.0333182	0.000492096	0.00101217	0.000666936	0.00153414	0.00183678	0.00674057	0.0314852	0.0504398	0.00569725	0.000456492	0.00318813	0.0163288	0.0157471	0.0116196	3.30607e-005	0.00055027	0.00140127	0.00053215	0.023221	0.185139	0.0061334	0.000933965	0.0652723	0.0253782	0.000401179	0.000239054
GcT_glcm_contr	17.0211	40.8024	20.09	16.4883	30.2381	28.2942	23.0138	17.2154	17.0518	26.7756	33.5516	24.7233	20.7884	20.2996	17.443	21.5162	22.4264	21.1877	25.3361	19.0032	13.3036	27.6707	23.4333	26.521	31.845	29.3428	18.6685
GcT_glcm_corre	0.971991	0.925062	0.969678	0.976366	0.951626	0.951509	0.959762	0.971427	0.975559	0.960327	0.946824	0.967152	0.971857	0.972577	0.975239	0.964579	0.967677	0.967033	0.96066	0.974993	0.985578	0.964402	0.969584	0.961348	0.950968	0.952049	0.973775
GcT_glcm_energ	0.00715404	0.00222727	0.00882605	0.010129	0.00419159	0.00328387	0.00401057	0.0054266	0.00955379	0.0047005	0.0033415	0.00815913	0.0099857	0.0103108	0.00783207	0.00486622	0.00537991	0.00504915	0.00476796	0.0125585	0.0342402	0.00510997	0.00488547	0.0114757	0.00639028	0.00338983	0.00881733
GcT_glcm_entrop	6.30344	6.91774	6.53497	6.41594	6.76026	6.67033	6.54025	6.43003	6.24426	6.60614	6.77514	6.60358	6.34674	6.41046	6.29602	6.51139	6.62699	6.5523	6.56931	6.07757	5.76333	6.61635	6.63799	6.39408	6.47794	6.63976	6.31191
GcT_glcm_homo	0.456413	0.309919	0.368949	0.399534	0.335607	0.371806	0.397816	0.434767	0.483776	0.396221	0.352677	0.374691	0.440531	0.420431	0.477389	0.411996	0.381158	0.405465	0.411754	0.52444	0.539772	0.399225	0.390354	0.426801	0.420454	0.405718	0.459082
GcT_glcm_sum_of_sqs	1448.78	1605.29	1534.18	1550.53	1482.38	1506.76	1434.77	1523.49	1470.05	1529.73	1519.98	1632.9	1584.34	1611.76	1547.53	1499.42	1481.17	1460.95	1475.49	1528.14	1650.95	1421.82	1402.49	1434.13	1372.62	1391.08	1506.68
GcT_glcm_sum_avg	67.6739	73.0224	69.3661	69.3319	68.4063	69.7145	67.7882	69.9214	66.9695	69.059	69.4124	70.8967	69.7141	70.4742	69.1468	69.1585	67.3581	67.5166	67.9264	67.7701	68.9857	64.2864	63.7901	66.063	64.7426	65.8824	67.846
GcT_glcm_sum_var	5168.78	5712.4	5492.51	5563.89	5274.2	5360.55	5098.67	5440.19	5260.74	5460.13	5408.17	5863.86	5690.35	5792.27	5548.56	5345.16	5286.32	5207.45	5255.66	5487.63	6007.07	5071.65	5002.35	5122.57	4872.87	4930.19	5395.46
GcT_glcm_sum_entrop	4.66313	4.72713	4.65544	4.63964	4.73319	4.73879	4.71847	4.71121	4.66015	4.73884	4.76079	4.69044	4.64665	4.65558	4.67127	4.72397	4.73928	4.72126	4.73657	4.62917	4.36722	4.74883	4.75665	4.60726	4.69459	4.76235	4.67621
GcT_glcm_diff_var	17.0211	40.8024	20.09	16.4883	30.2381	28.2942	23.0138	17.2154	17.0518	26.7756	33.5516	24.7233	20.7884	20.2996	17.443	21.5162	22.4264	21.1877	25.3361	19.0032	13.3036	27.6707	23.4333	26.521	31.845	29.3428	18.6685
GcT_glcm_diff_entrop	1.96388	2.47074	2.22513	2.13586	2.33445	2.23632	2.12321	2.02027	1.95327	2.19007	2.31546	2.28651	2.11559	2.13669	2.00206	2.09513	2.2094	2.15992	2.145	1.84726	1.8626	2.2247	2.21883	2.14833	2.14483	2.16077	1.98522
GcT_glcm_inform_meas1	-0.431918	-0.296706	-0.363421	-0.388682	-0.339564	-0.363702	-0.390378	-0.414673	-0.446794	-0.379637	-0.345042	-0.359679	-0.411781	-0.395942	-0.435606	-0.397874	-0.374254	-0.389197	-0.390088	-0.478454	-0.47337	-0.379867	-0.376508	-0.389905	-0.402417	-0.380229	-0.432795
GcT_glcm__inform_meas2	0.983635	0.951759	0.970923	0.9761	0.96639	0.97264	0.977805	0.981677	0.985483	0.975998	0.968449	0.970637	0.98032	0.977534	0.984128	0.979148	0.974978	0.977634	0.977944	0.988517	0.985364	0.976119	0.97558	0.976149	0.979796	0.976456	0.983874
GcT_Gabor_energ_s_0.01_theta_0	2.46398e+010	3.18867e+010	3.73197e+010	3.20822e+010	2.84639e+010	3.14479e+010	3.0283e+010	3.77946e+010	2.97642e+010	2.63912e+010	3.5218e+010	3.02983e+010	3.10035e+010	2.8956e+010	2.98841e+010	3.43519e+010	2.98482e+010	3.13607e+010	3.31953e+010	2.58684e+010	3.33782e+010	2.07437e+010	2.63136e+010	3.83133e+010	2.59249e+010	3.88951e+010	4.04805e+010
GcT_Gabor_entrop_s_0.01_theta_0	0.933882	0.927646	0.939396	0.935801	0.923834	0.925075	0.924806	0.93424	0.93844	0.93167	0.928887	0.933084	0.935256	0.927684	0.928326	0.932478	0.929731	0.934552	0.934435	0.935125	0.938934	0.922295	0.929358	0.948608	0.922999	0.940991	0.93148
GcT_Gabor_energ_s_0.01_theta_0.7854	6.49534e+009	1.90742e+009	9.43769e+009	1.11243e+010	4.75269e+009	5.01405e+009	2.5487e+009	8.38659e+009	1.63024e+010	6.83674e+009	5.44413e+009	4.2293e+009	4.10674e+009	5.08109e+009	5.00853e+009	8.30017e+009	9.92662e+009	9.86069e+009	6.29827e+009	5.25825e+009	2.22095e+010	3.64529e+009	4.39287e+009	8.63995e+009	7.23588e+009	6.18994e+009	9.80671e+009
GcT_Gabor_entrop_s_0.01_theta_0.7854	0.951397	0.936902	0.949385	0.942035	0.949727	0.955506	0.94535	0.943072	0.943497	0.944129	0.9533	0.9364	0.951431	0.945358	0.952002	0.947388	0.950271	0.946669	0.949267	0.952003	0.945924	0.946297	0.944177	0.934147	0.943974	0.942545	0.947989
GcT_Gabor_energ_s_0.01_theta_1.5708	4.05103e+010	2.64126e+010	3.66991e+010	3.12902e+010	3.11315e+010	2.59327e+010	3.32433e+010	3.17674e+010	4.45211e+010	2.91842e+010	2.76241e+010	2.98303e+010	2.73809e+010	2.74495e+010	2.91991e+010	3.03109e+010	3.13594e+010	3.36183e+010	3.27956e+010	4.69298e+010	4.75955e+010	2.80501e+010	3.00653e+010	2.68809e+010	2.49755e+010	3.04749e+010	5.37736e+010
GcT_Gabor_entrop_s_0.01_theta_1.5708	0.931135	0.924821	0.934648	0.929592	0.932886	0.923961	0.933549	0.929477	0.936521	0.932122	0.931128	0.923156	0.922463	0.928859	0.925802	0.926827	0.939061	0.935987	0.932807	0.93672	0.948602	0.923027	0.934486	0.943062	0.94091	0.935572	0.943016
GcT_Gabor_energ_s_0.01_theta_2.3562	1.04917e+010	5.44189e+009	5.40012e+009	7.1184e+009	3.13349e+009	4.88835e+009	4.35798e+009	3.06289e+009	5.62983e+009	6.78025e+009	6.44949e+009	2.76904e+009	4.73888e+009	3.11456e+009	6.57433e+009	4.3597e+009	8.1791e+009	5.81526e+009	1.37793e+010	4.09674e+009	1.26453e+010	2.91718e+009	4.22927e+009	2.67445e+010	3.41332e+010	8.72286e+009	1.70164e+010
GcT_Gabor_entrop_s_0.01_theta_2.3562	0.948336	0.939338	0.949692	0.953502	0.948032	0.951498	0.945011	0.943126	0.943333	0.94252	0.940036	0.943405	0.949873	0.951155	0.955263	0.931483	0.945331	0.947857	0.948964	0.949297	0.948237	0.942604	0.946669	0.950743	0.938682	0.938708	0.940003
GcT_Gabor_energ_s_0.01_theta_0	1.61568e+009	1.62761e+009	2.30836e+009	2.20473e+009	1.77361e+009	1.6669e+009	1.77456e+009	1.93609e+009	2.07602e+009	2.07668e+009	2.07968e+009	2.06373e+009	2.14945e+009	2.49591e+009	1.96615e+009	2.05094e+009	2.09548e+009	2.20753e+009	2.2288e+009	2.62642e+009	2.18598e+009	1.98414e+009	1.92975e+009	2.10672e+009	1.66485e+009	1.88089e+009	2.1517e+009
GcT_Gabor_entrop_s_0.01_theta_0	0.917981	0.90759	0.917865	0.927012	0.908126	0.92034	0.907833	0.910076	0.919932	0.924967	0.914898	0.921071	0.922371	0.928021	0.920074	0.922088	0.928196	0.915511	0.922213	0.922105	0.919571	0.927173	0.919218	0.914338	0.900577	0.916158	0.907135
GcT_Gabor_energ_s_0.01_theta_0.7854	8.08731e+008	3.91137e+008	1.25133e+009	1.49073e+009	5.75039e+008	6.75955e+008	6.19258e+008	7.72665e+008	2.04044e+009	1.01416e+009	6.40536e+008	7.61321e+008	6.72727e+008	9.2796e+008	1.0017e+009	8.5473e+008	1.17259e+009	8.59785e+008	8.40155e+008	1.11421e+009	1.81809e+009	9.8286e+008	8.50052e+008	9.89808e+008	5.7516e+008	4.36127e+008	7.07886e+008
GcT_Gabor_entrop_s_0.01_theta_0.7854	0.938202	0.948669	0.935968	0.93763	0.94333	0.936085	0.937664	0.925961	0.924478	0.936359	0.944576	0.939046	0.943056	0.93974	0.943913	0.936427	0.94356	0.947829	0.931036	0.935387	0.927153	0.938051	0.943467	0.923448	0.930299	0.935006	0.941745
GcT_Gabor_energ_s_0.01_theta_1.5708	3.15805e+009	1.91099e+009	2.3173e+009	2.26985e+009	1.85872e+009	1.91555e+009	2.10905e+009	1.73634e+009	2.53706e+009	2.22332e+009	2.22026e+009	2.24856e+009	2.22816e+009	1.83108e+009	2.02989e+009	1.97557e+009	1.93209e+009	2.39569e+009	1.78541e+009	2.22884e+009	2.94481e+009	1.97238e+009	2.02122e+009	1.77192e+009	1.55597e+009	1.91126e+009	2.72163e+009
GcT_Gabor_entrop_s_0.01_theta_1.5708	0.920685	0.907351	0.920821	0.915502	0.913546	0.912633	0.922038	0.911555	0.932038	0.922167	0.926308	0.918142	0.935371	0.92326	0.927925	0.913001	0.9304	0.925653	0.911489	0.919629	0.92832	0.918288	0.927425	0.914253	0.913484	0.921526	0.926017
GcT_Gabor_energ_s_0.01_theta_2.3562	7.89007e+008	6.60394e+008	7.24069e+008	1.08042e+009	5.45744e+008	6.07009e+008	8.68528e+008	4.77981e+008	5.84939e+008	9.52046e+008	7.4741e+008	1.03778e+009	8.79494e+008	6.73482e+008	8.86852e+008	8.22561e+008	1.21526e+009	9.36339e+008	9.99386e+008	1.11056e+009	8.27072e+008	6.90381e+008	9.03078e+008	1.01409e+009	2.91529e+009	7.85264e+008	1.23966e+009
GcT_Gabor_entrop_s_0.01_theta_2.3562	0.93629	0.933099	0.939746	0.941002	0.948003	0.944855	0.93438	0.941382	0.938942	0.944336	0.938029	0.943848	0.940742	0.939026	0.946236	0.941813	0.939521	0.942852	0.936086	0.940538	0.930877	0.943703	0.933398	0.936972	0.929332	0.944608	0.936192
GcT_Gabor_energ_s_0.02_theta_0	9.76445e+007	1.07799e+008	1.34946e+008	1.434e+008	1.15057e+008	1.1318e+008	1.10002e+008	1.10337e+008	1.09524e+008	1.41979e+008	1.34143e+008	1.54186e+008	1.62472e+008	2.05513e+008	1.65755e+008	1.30326e+008	1.37294e+008	1.21217e+008	1.32967e+008	1.7698e+008	1.36421e+008	1.627e+008	2.04908e+008	8.4648e+007	8.62716e+007	1.11117e+008	1.06604e+008
GcT_Gabor_entrop_s_0.02_theta_0	0.923855	0.91559	0.924721	0.922072	0.923731	0.926185	0.920721	0.920377	0.922643	0.930455	0.922981	0.925864	0.930377	0.938262	0.933198	0.924399	0.92908	0.915071	0.92748	0.926377	0.914211	0.935212	0.937753	0.901614	0.90043	0.913839	0.913397
GcT_Gabor_energ_s_0.02_theta_0.7854	6.51718e+007	5.90226e+007	9.27197e+007	1.16715e+008	6.52812e+007	7.24847e+007	7.22082e+007	7.15968e+007	1.23682e+008	9.22492e+007	8.86485e+007	1.33352e+008	1.04751e+008	1.36395e+008	1.00595e+008	7.87689e+007	9.8805e+007	7.52424e+007	6.63506e+007	1.01098e+008	1.25274e+008	1.77711e+008	1.32328e+008	4.11902e+007	4.97832e+007	5.52927e+007	8.34878e+007
GcT_Gabor_entrop_s_0.02_theta_0.7854	0.934288	0.946553	0.938715	0.927098	0.938272	0.937757	0.935353	0.939002	0.925429	0.941706	0.939457	0.940805	0.941373	0.938391	0.941796	0.936458	0.941135	0.939412	0.936538	0.935645	0.915622	0.938436	0.940292	0.92507	0.936874	0.936662	0.928712
GcT_Gabor_energ_s_0.02_theta_1.5708	1.52552e+008	1.09153e+008	1.31049e+008	1.35575e+008	1.22507e+008	1.07747e+008	1.16177e+008	1.19283e+008	1.77078e+008	1.61957e+008	1.32545e+008	1.65666e+008	1.92699e+008	1.45578e+008	1.675e+008	1.20097e+008	1.5596e+008	1.35032e+008	1.02925e+008	1.48261e+008	1.49313e+008	1.90304e+008	1.64307e+008	9.91408e+007	7.76972e+007	1.08245e+008	1.36311e+008
GcT_Gabor_entrop_s_0.02_theta_1.5708	0.907662	0.919638	0.928458	0.923544	0.927726	0.920925	0.921709	0.914022	0.922242	0.932004	0.930366	0.9381	0.934067	0.929685	0.935251	0.919611	0.932524	0.924086	0.919426	0.922503	0.915996	0.933723	0.933854	0.898896	0.910778	0.922253	0.915964
GcT_Gabor_energ_s_0.02_theta_2.3562	5.84261e+007	8.5466e+007	9.31766e+007	7.42262e+007	8.18077e+007	7.51738e+007	8.01859e+007	5.69705e+007	7.05929e+007	1.20449e+008	8.61741e+007	1.18544e+008	1.38326e+008	1.01438e+008	1.29352e+008	6.8255e+007	1.02365e+008	9.10911e+007	1.03547e+008	1.21162e+008	8.09925e+007	1.01181e+008	1.21217e+008	6.59114e+007	1.13704e+008	7.76467e+007	8.04161e+007
GcT_Gabor_entrop_s_0.02_theta_2.3562	0.938183	0.937777	0.939092	0.935732	0.937221	0.933592	0.933026	0.9363	0.933572	0.937287	0.938757	0.93991	0.941134	0.941154	0.940987	0.940035	0.938409	0.938703	0.933857	0.9306	0.919911	0.939506	0.938904	0.923035	0.932887	0.935726	0.92981
GcT_Gabor_energ_s_0.04_theta_0	4.9014e+006	7.37447e+006	8.09051e+006	6.76237e+006	8.75239e+006	7.68533e+006	6.83643e+006	5.80807e+006	5.13634e+006	7.42972e+006	7.3093e+006	9.01438e+006	8.89048e+006	1.16435e+007	8.26895e+006	5.75892e+006	6.37402e+006	6.2912e+006	6.88439e+006	7.4129e+006	5.97345e+006	8.27288e+006	9.14893e+006	4.64178e+006	4.78577e+006	5.91939e+006	5.32336e+006
GcT_Gabor_entrop_s_0.04_theta_0	0.91552	0.92355	0.922329	0.921896	0.929587	0.92664	0.926779	0.915746	0.915968	0.930077	0.91857	0.92728	0.930663	0.930453	0.9265	0.915419	0.917853	0.915308	0.919653	0.922317	0.916163	0.928702	0.92788	0.919003	0.914293	0.916792	0.908764
GcT_Gabor_energ_s_0.04_theta_0.7854	3.56314e+006	4.1318e+006	4.93549e+006	5.73469e+006	6.12726e+006	5.23788e+006	4.67757e+006	4.51426e+006	4.11601e+006	5.45229e+006	5.13907e+006	7.64753e+006	6.80526e+006	8.12784e+006	5.75238e+006	4.16705e+006	4.90947e+006	4.01815e+006	3.45777e+006	5.02505e+006	4.62645e+006	8.00206e+006	6.03012e+006	2.84816e+006	3.47983e+006	4.15432e+006	4.1952e+006
GcT_Gabor_entrop_s_0.04_theta_0.7854	0.923591	0.935683	0.936387	0.919893	0.938364	0.93513	0.93297	0.922276	0.92136	0.937103	0.93216	0.9401	0.936062	0.937142	0.932465	0.928299	0.933764	0.929225	0.926736	0.927726	0.92654	0.935629	0.933906	0.926417	0.931241	0.926153	0.916403
GcT_Gabor_energ_s_0.04_theta_1.5708	6.1564e+006	6.77776e+006	6.09086e+006	6.43905e+006	9.5988e+006	7.31213e+006	7.24362e+006	6.32186e+006	7.25002e+006	7.64215e+006	6.83871e+006	1.03252e+007	1.002e+007	7.6469e+006	8.78161e+006	5.83905e+006	6.67647e+006	7.05774e+006	5.0619e+006	7.24766e+006	6.54974e+006	9.09685e+006	8.5684e+006	4.63213e+006	4.59332e+006	7.03251e+006	6.12193e+006
GcT_Gabor_entrop_s_0.04_theta_1.5708	0.901487	0.919526	0.92192	0.919663	0.934583	0.926366	0.924569	0.915147	0.912527	0.928813	0.920587	0.935128	0.92887	0.92926	0.929852	0.913283	0.919172	0.919883	0.910241	0.914498	0.916419	0.932792	0.927671	0.902208	0.91602	0.919458	0.907811
GcT_Gabor_energ_s_0.04_theta_2.3562	3.05958e+006	6.86116e+006	4.76335e+006	4.23464e+006	7.48898e+006	5.92539e+006	5.72591e+006	3.4871e+006	3.52559e+006	6.40394e+006	4.50112e+006	7.55867e+006	8.40499e+006	6.24158e+006	7.04469e+006	3.42646e+006	4.70883e+006	4.86473e+006	5.42109e+006	5.86248e+006	4.34498e+006	6.17362e+006	6.80993e+006	2.69286e+006	3.33187e+006	5.20378e+006	3.94898e+006
